No,Pertanyaan dan jawaban
,"1. Menentukan target pasar dan pilihan produk
2. Memilih produk yang menjadi solusi terbaik
3. Membangun website
4. Membangun media sosial
5.Gunakan SEO, SEM, dan Social Media Ads"
23,hal-hal apa saja yang harus diperhatikan dalam melakukan pemasaran digital ?
,"1. Penyusunan Strategi
2. Memahami Konsumen
3. Menyiasati Kompetisi Usaha
4. Memilih Media yang Dijadikan Sebagai Lapak Promosi"
24,Mengapa pemasaran digital lebih disukai daro pada pemasaran ?
,"Kelebihan pemasaran produk melalui digital marketing lebih personal karena iklan atau pesan yang dipasarkan langsung mengenai target sasaran yang sudah ditentukan, yaitu para pengguna internet. Selain itu, pemasar bisa lebih mudah menghitung seberapa akurat media yang digunakan dalam memasarkan produk"
25,Mengapa digital marketing perlu dikembangkan saat ini ?
,Kehadiran jasa digital marketing bisa memudahkan strategi pemasaran sebuah brand atau merek agar bisa memperluas target pasar dengan lebih mudah. Itulah mengapa jasa digital marketing ibarat angin segar bagi para penyedia layanan ini karena peluangnya akan terus meningkat seiring dengan kebutuhan perusahaan.
26,Apa keuntungan pemasaran digital bagi penjual dan pembeli ?
,Keuntungan utamanya adalah audiens yang ditargetkan dapat dijangkau dengan cara yang hemat biaya dan terukur. Keuntungan pemasaran digital lainnya termasuk meningkatkan loyalitas merek dan mendorong penjualan online
27,Apa yang dimaksud dengan SEO dan SEM ?
,SEM (Search Engine Marketing) dan SEO (Search Engine Optimization) adalah dua teknik yang digunakan dalam pemasaran digital untuk meningkatkan visibilitas suatu situs web di mesin pencari
28,Contoh 4 langkah strategi pemasaran ?
,"Strategi pemasaran 4P (Marketing Mix 4P dalam pemasaran) merupakan kumpulan alat pemasaran taktis yang terdiri dari:
1. Product (produk)
2. Price (harga)
3. Place (tepat)
4. Promotion (promosi)"
29,Jenis media apa saja yang digunakan untuk promosi ?
,"1. Media cetak, salah satu media marketing paling lama selain mulut ke mulut adalah pemasaran cetak
2. Televisi. Bentuk media marketing selanjutnya televisi
3. Radio
4. Social media marketing
5. E-mail marketing
6. Content marketing
7. Search engine marketing
8. Influencer marketing"
30,Apa saja peran digital marketing terhadap perekonomian ?
,"Dari hasil penelitian diketahui bahwa digital marketing memudahkan pelaku UMKM untuk memberikan informasi dan berinteraksi secara langsung dengan konsumen, memperluas pangsa pasar, meningkatkan awareness dan meningkatkan penjualan bagi pelaku UKM."
31,Apa saja 3 fungsi pemasaran ?
,"1. Fungsi Pertukaran. Dengan pemasaran pembeli dapat membeli produk dari produsen baik dengan menukar uang dengan produk maupun pertukaran produk dengan produk (barter) untuk dipakai sendiri atau untuk dijual kembali.
2. Fungsi Distribusi Fisik
3. Fungsi Perantara"
32,Apa kelemahan pemasaran digital ?
,"Digital marketing juga memiliki beberapa hal kelemahan antara lain: -Konsep marketing era e-commerce ini pemasaran secara online dapat dengan mudah ditiru oleh kompetitor/pesaing bisnis lainnya, karena tidak ada lagi batasan teritori lagi yang bisa menghambat produsen memasarkan produknya."
33,Apa defisiensi pendekatan ekonomi konvensional ?
,"Ekonomi konvensional menimbulkan fenomena newtonian (Ingat hukum newton saja tidak cukup untuk menerbangkan pesawat terbang), defisiensi lainnya adalah hermetic (cenderung terisolasi dari kompleksitas manusia dan lingkungan"
34,Apa pandangan terhadap SDA (continued)?
,"Sumberdaya alam dianggap sebagai ""mesin pertumbuhan"" (angine of growth) yang mengtransformasikan sumberdaya kedalam ""man-made capital"" yang pada gilirannya akan menghasilkan produktifitas yang yang lebih tinggi dimasa mendatang"
35,Jelaskan pengukuran kelangkaan SDA ?
,"Menurut hanley et al (1997) : Pengukuran harga riil, pengukuran unit cost, dan pengkuran rente kelngkaan (Scarcity rent), dan menurut hall and hall (1984) : Malthusain stock / flows scarcity dan Ricardian stock / scarcity"
36,Ikan ditangkap pertama kali oleh siapa ?
,Ikan ditangkap dan dikonsumsi pertama kali oleh Australopithecusdan homo erectus dan kemudian homo sapiens
37,Jelaskan secara ringkas bagaimana sejarah perkembangan produksi perikanan dan pemanfaatannya?
,"Perikanan telah menjadi bagian yang tidak terpisahkan dari sejarah peradaban manusia dari sejak zaman pra sejarah, zaman batu (stone age), hingga zaman modern sekarang ini.
Ikan ditangkap dan dikonsumsi pertama kali oleh Australopithecus dan Homo erectus dan kemudian Homo sapiens. 
Penelitian arkeologi menunjukkan manusia menangkap ikan dan mengkonsumsinya sejak jaman palaeolitikum sekitar 380000 tahun lalu. Pada zaman prasejarah yang lebih belakangan ditemukan bukti banyak bahwa pada populasi di Eropa terbiasa memanfaatkan ikan untuk konsumsi dan salmon adalah yang paling populer, sementara pada masyarakat di Amerika dan Afrika, dikenal beberapa jenis kerang-kerangan. 
Di zaman batu, sekitar 5000 tahun yang lalu,  penemuan arkeologi di gua Skipshelleren, Norwegia adalah „desa nelayan“ pertama dimana perikanan menjadi aktifitas masyarakat setempat untuk memanfaatkan ikan sebagai sumber pangan. Pada zaman sebelum masehi, masyarakat Phoenic dan Yunani Kuno telah memanfaatkan sumber daya perikanan di perairan Laut Hitam sebagai sumber pendapatan mereka, 
Sementara Kekaisaran Romawi kuno telah memanfaatkan perairan di sekitar Spanyol dan Sisilia sebagai sebagai sumber ekonomi perikanan mereka.
Pada zaman yang sama, di Scandinavia, masyarakat Hanseatic juga menggantungkan ekonomi mereka pada perikanan herring di Laut Utara."
38,Bagaimana peradaban konsumsi ikan ?
,"Ikan sangat dihargai pada masa Mesir kuno dan peradaban China. Resep pertama yang diketahui pada masa itu adalah salad ikan yang merupakan marinated dan spiced carp, dari 1300 BC China purba. 
Bahkan sejarah juga mencatat bahwa pada zaman kekaisaran Romawi kuno inilah nilai lelang ikan terbesar terjadi. Pada waktu itu  pernah tercatat lelang ikan setara dengan US24 000  saat ini, yang belum  pernah dilampaui sebelum tahun 1990an.
Perdagangan ikan segar selalu lebih diminati dari jaman dahulu kala. China sudah memperdagangkannya sejak 3000 tahun lalu."
39,Jelaskan secara ringkas tentang sejarah budidaya ikan ?
,"1. Budi daya ikan juga pertama kali ditemukan di Cina sejak 2000 sampai 1500 SM. 
2. Ancient Roma juga mengembangkan budidaya payau  yang sophisticated dan cukup kompleks.
3. Perkembangan Akuakultur menurun dengan alasan berbeda-beda di setiap negara. Di German, akuakultur kolaps selama perang 30 tahun dan tidak membaik sampai akhir abad ke 19. Perkembangan perikanan tangkap pada abad ke 19 dan 20 menurun, walaupun kontribusi relatif meningkat; perubahan lebih karena besarnya produksi tangkap karena investasi besar-besaran dan perkembangan pasar dunia dari tipe tertentu ikan asin."
40,Jelaskan perikanan dan ekonomi dunia itu bagaimana ?
,"1. Abad 15-16 ikan telah menjadi “mata uang” di Islandia
2. Anda bisa membeli sepatu dengan 3 ekor ikan kering sebagai mata uang
3. Abad 16-17 Portugal dan Spanyol mengandalkan ekonominya dari ikan Cod selain dari tambang
4. Abad ke 21 Ikan menjadi salah satu komoditas unggulan dengan nilai perdagangan global mencapai lebih dari US$ 56 milyar"
41,Bagaimana perikanan di zaman modern ini ?
,"1. Menjadi cara hidup (way of live) dan juga kebutuhan ekonomi
2. Tahun 1950-1960 : mekanisasi kapal perikanan yaitu introduksi dari sintetis fiber dan disain jaring yang lebih rasional
3. menyebabkan terjadinya overexplotasi yang sangat signifikan dan economic looses pada perikanan tangkap dunia akibat overcapacity fleet dan overinvestment
4. Dari sekedar ekonomi lokal menjadi kegiatan ekonomi global yang menghasilkan milyaran dollar dari perdagangan dunia
5. Menjadi sumber “energi” bagi pertumbuhan  ekonomi di beberapa negara
6. Kegiatan perikanan memberikan kontribusi lebih dari 20% terhadap suplai protein dunia
7. Studi recent market dunia mengindikasikan bahwa akan terjadi perubahan-perubahan berkaitan dengan demand yang diekspektasikan akan terjadi pada perdagangan ikan dunia pada masa yang akan datang"
42,Bagimana sisi lain dari perikanan dizaman modern ?
,"1. Overfishing/Overcapacity
2. Degradasi lingkungan
3. Overconsumption
4. Perdagangan global (WTO, dlsb)
5. Conflicting user groups (tourism, konservasi, pelabuhan, dlsb)
6. Economic forces (Harga BBM, dlsb)
7. Natural disaster yang semakin sering terjadi"
43,Apa saja karakteristik ekonomi perikanan ?
,"1. Ketidak-sempurnaan pasar (monopsony-monopoly, “cartel”)
2. In-efisiensi dalam produksi (over-capacity)
3. “Biaya transaksi” yang tinggi
4. “narrow marketing channel”
5. “perverse subsidy”
6. Non-symmetric “business cycle”
7. Local-financier dependency
8. High cost of fuel consumption (average 60% of total cost)"
44,Apa saja karakteristik perikanan ?
,"1. Ekstraksi perikanan historically dalam doktrin res nullius (objek yang semestinya bisa dimiliki namun tidak bisa dimiliki oleh  individu. )
2. res nullius berkembang menjadi common property (” everybody’s property is nobody’s property” )
3. Sumber daya ikan dianggap sebagai Ferae Naturae (kondisi dimana hewan atau ikan memiliki sifat asal alamiah (wild by nature), tidak ada yang berhak mengklaim kepemilikannya dan kepemilikan hanya berlaku ketika seseorang menangkapnya. ) Dalam konteks ekonomi perikanan sumber daya diistilahkan sebagai capture resource atau sumber daya tangkap.
4. Kondisi Ferae Naturae menimbulkan salah satu sifat perikanan yakni Market Failure (kegagalan pasar)
5. Market Failure menimbulkan karakteristik lain yakni eksternalitas"
45,Bagaimana Ekstraksi sumber daya ikan ?
,"1. SDI (Khususnya perikanan tangkap) merupakan 
 “natural endowment” (aset alam)
2. Pemanfaatan natural endowment dalam rangka 
  memperoleh manfaat
3. Namun untuk itu diperlukan biaya"
46,Jelaskan review ekonomi produksi ?
,"Produksi adalah proses ekonomi yang konversi input menjadi output, Penggunaan sumber daya untuk menghasilkan good dan services, Produksi merupakan “flow concept” yang diukursebagai laju ouput per satuan waktu. Ada 3 aspek dalam proses produksi:- Kuantitas barang dan jasa yang diproduksi- Bentuk barang dan jasa yang diproduksi- Distribusi Temporal dan spatial barang dan jasayang diproduksi"
47,Bagaimana konteks ekonomi perikanan ?
,"Sumber daya bersifat mobile, property right tidakterdefinisikan dengan jelas, Rente ekonomi dibagi atas pelaku perikanan(nelayan dan pemilik modal) dan pemerintah.Sehingga disagreasi rente ekonomi dibagi menjadi: - rente sumber daya (resource rent)- rente intra-marginal (intra marginal rent)= keuntungan di atas keuntungan normal, Konsep rente ekonomi digambarkan dalam variabelinput seperti jumlah kapal, tenaga kerja, GT,dll (krnkita tidak dapat mengendalikan output sdi)"
48,Apa saja isu kontemporer masalah ekonomi perikanan diluar model standar ?
,"MPA, Illegal fishing, Overcapacity, dan Ecolabelling"
49,Apa yang dimaksud dengan Ecolabelling ?
,Ecolabelling adalah cara pengendalian melalui standarisasi (sertifikasi).• Ecolabelling merupakan instrumen yang bekerja untuk mempengaruhi sinyal pasar. • Pasar hanya bereaksi pada produk yang sudah di standarisasi. • Berusaha memberikan insentif dan disinsentif kepada pelaku perikanan dalam kaitannya dengan keberlanjutan sumber daya. • Ecolabelling dapat dilakukan pada faktor output (ikan yang dijual) atau faktor input (alat tangkap yang digunakan).
50,Bagaimana aspek biaya perikanan ?
,"1. Biaya timbul karena penggunaan faktor produksi (input)
2. Namun dalam konteks perikanan, SDI adalah barang publik  sehingga ada biaya lain yakni biaya publik (social cost)
3. Biaya publik exp: Overcapacity, menyebabkan terjadinya overfishing, yang akan meningkatkan biaya bagi nelayan lain sehingga menyebabkan ikan makin mahal
4. Mahalnya harga ikan menimbulkan mahalnya biaya lain pada konsumen"
,"Eros, 2023. Link Materi ""Proyek Kewirausahaan, Pemasaran Digital dan Ekonomi sumber daya perikanan"""
,https://bit.ly/Proyekkewirausahaan_Sumberdayaperikanan_Pemasarandigital
