No,Pertanyaan dan jawaban
,Wadah produksi beserta komponen lainnya dan teknologi yang diterapkan pada wadah tersebut serta bekerja sinergis dalam rangka mencapai tujuan akuakultur
19,Apa saja tipe fasilitas produksi bergantung kepada ?
,"Faktor - faktor lingkungan seperti kualitas tanah, kualitas dan kuantitas air, dan topografi lahan, Faktor - faktor teknologi seperti jenis ikan, tingkat teknologi yang digunakan"
20,Dibagi berapa kelompok  sistem akuakultur?
,"dua, yaitu land-base aquaculture dan water-based aquaculture"
21,Apa saja yang termasuk dengan Land-base aquaculture ?
,"Kolam air tenang, kolam air deras, tambak, sawah, bak, aquarium, dan tangki"
22,Apa saja yang termasuk dengan Water-based aquaculture ?
,"Jaring apung, jaring tancap, karamba, kombongan, kandang (pen culture), longline, rakit, sekat (enclosure) dan sea ranching dan restoring"
23,Apa saja contoh kolam air tenang ?
,"Kolam tanah, tergenang, kedalaman rata rata tidak melebihi 1,5 - 2,0 m, air yang masuk hanya untuk mengganti penguapan (evaporasi) dan rembesan (infiltrasi), proses ekologis produksi, konsumsi dan dekomsumsi"
24,Apa saja contoh kolam air deras (Raceway) ?
,"Kolam beton, debit 10-100 kali kolam air tenang, padat penebaran tinggi, proses ekologis komsumsi"
25,Apa yang dimaksud dengan tambak ?
,"Mirip dengan kolam aie tenang, berbeda dalam hal lokasi dan sumber air yang digunakan"
26,Apa yang dimaksud dengan Jaring Apung (Cage culture?
,"Wadah berupa jaring yang mengapung (floating net cage)dengan bantuan pelampung dan ditempatkan diperairan seperti danau, waduk, selat, teluk, dengan kedalaman 7-40 m"
27,Apa yang dimaksud dengan Jaring Tancap (Fixed net cage) ?
,Wdah berupa jaring yang diikatkan pada patok yang menancap ke dasar perairan 
28,Apa yang dinaksud dengan karamba dan kombongan ?
,"Wadah budidaya berupa kandang yang terbuat dari kayu, papan, bambu yang ditempatkan di dasar sungai"
29,Apa yang dimaksud dengan kandang (pen culture) ?
,"Berupa kandang dengan dinding terbuat dari jaring yang ditunjang patok bambu, sementara dasar kandang berupa dasar perairan"
30,Apa saja pengadaan sarana dan prasarana produksi ?
,"Benih, pakan (alami dan buatan), obat-obatan, pupuk, pestisida, dan peralatan produksi"
31,Apa saja penanganan pascapanen dan pemasaran ?
,"Transportasi ikan hidup, pengumpulan, dan penyajian (display)"
32,Dibagi menjadi berapa pengelompokan komoditas akuakultur ?
,"Dibagi menjadi sepuluh yaitu, tujuan akuakultur, klasifikasi taksonomik, karakteristik morfologi dan biologi, jenis makanan,penyebaran geografis, habitat/media hidup, orientasi pasar produk, tipe produk, harga, dan tingkat pengembangan komersial"
33,Apa kriteria pemilihan spesies ?
,Karakteristik biologi dan pasar serta sosial dan ekonomi
34,Sebutkan contoh dalam pertimbangan biologi?
,"Kemampuan memijah dalam lingkungan budidaya, ukuran dan umur pertama kali matang gonad, fekunditas, laju pertumbuhan dan produksi, konversi pakan, dan dampak terhadap lingkungan"
35,Sebutkan contoh dalam pertimbangan ekonomi dan pasar ?
,"Pertimbangan pasar, harga dan keuntungan, sistem pemasaran, ketersediaan sarana dan prasarana produksi dan pendapatan masyarat"
36,Apa saja diversifikasi komoditas akuakultur ?
,Domestikasi spesies dan introduksi spesies
37,Apa yang dimaksud dengan domestikasi spesies ?
,Menjadikan spesies liar (wild spesies) menjadi spesies akuakultur
38,Apa yang dimaksud dengan introduksi spesies ?
,Mendatangkan spesies akuakultur dari kawasan lain untuk meningkatkan jumlah jenis komoditas dan perbaikan genetis
39,Apa saja kegiatan produksi akuakultur on farm ?
,"Produksi akuakultur, pembenihan, pendederan, dan pembesaran"
40,Apa saja kegiatan produksi akuakultur in farm ?
,"Pengadaan sarana dan prasarana, produksi, penanganan hasil panen, distribusi hasil dan pemasaran"
41,Pentingnya benih dari Hatchery apa ?
,"Jumlah, waktu, ukuran, mutu (dapat diseleksi / dipilih) dan harga"
42,Apa saja tahapan dalam siklus hidup ikan ?
,"Induk, telur, larva, benih, juvenil, remaja, dewasa, dan induk"
43,Apa yang dimaksud dengan parental care ?
,"Menjagai keturunannya (telur,larva, dan benih)"
44,Apa yang dimaksud dengan Non parental care ?
,Induk tidak peduli terhadap keturunnnya
45,Apa yang dimaksud dengan Juvenil?
,"Juvenil adalah anak ikan yang memiliki bentuk tubuh seperti induknya, tetapi lebih kecil dan organ reproduksinya masih dalam perkembangan sehingga belum berfungsi"
46,Apa yang dinaksud dengan feeding habits ?
,Tingkah laku makan ikan sudah mengarah kepada jenis makanan seperti yang dikonsumsi secara alami oleh induknya
47,Apa yang dimaksud dengan Endogenous feeding dalam sumber energi bagi larva ikan ?
,Kuning telur dan butir minyak
48,Apa yang dimaksud dengan Exogenous feeding dalam sumber energi bagi larva ikan ?
,Pakan dari luar contohnya pakan alami
49,Pengembangan induk dapat didorong malalui :
,"Hormonal, lingkungan, Nutrisi dan tingkah laku ikan "
50,Ciri telur tidak melekat pada substrat ?
,"Mengapung, melayang dan menggelinding di dasar "
,"Eros, 2023. Link Materi ""Tata Laksana Budidaya Perikanan"""
,https://drive.google.com/drive/folders/1GKdUnBN-85H26ByzJWXqh7KJ-FgZLoXo
