,Gunakan filter air untuk menjaga kebersihan air akuarium serta mensuplai oksigen ke dalam air supaya ikan tidak cepat mati.
15,Apa ikan manfish merupakan ikan predator?
,"Ikan manfish dikenal sebagai predator yang kuat dan agresif. Mereka memakan ikan kecil, udang, dan serangga di alam liar."
16,Berapa umur indukan ikan manfish yang siap pijah?
,Induk yang siap pijah yaitu beruur kurang lebuh 7 bulan.
17,Kenapa memilih ikan manfish untuk berwirausaha?
,"Alasan karena pasarnya bisa dikatakan sudah ada, dan tentunya juga untuk keuntunganya yang cukup."
18,Sejak kapan berwirausaha ikan manfish?
,Awal mula memulai bisnis ikan hias ini adalah saat masuk perkuliahan dan masih berjalan sampai sekarang.
19,Penjualan ikan manfish ditargetkan kepada siapa?
,Target pasar dalam usaha pembesaran ini adalah lebih ke toko ikan hias yang memenuhi kebutuhan toko untuk memasarkan untuk pelangganya. Sasaran lainya juga untuk di pasarkan ke petani-petani yang berminat untuk membeli ikan tersebut.
20,Apa kelebihan dari berwirausaha ikan manfish?
,Kelebihan dari usaha yang saya jalankan adalah saya berwirausaha sambil kuliah yang tentunya dapat sedikit memotifasi teman-teman yang lainya untuk berwirausaha sambil kuliah. Yang kedua adalah kualitas dari ikan tersebut yang bagus dan menjanjikan untuk pembeli.Yang terakhir adalah pakan untuk pembesaran ikan tersebut tentunya dengan pakan berkualitas serta kaya protein dan serat yang bagus untuk kelangsungan pertumbuhan ikan.
21,Bagaimana proses pengemasan ikan manfish?
,Pengemasan ikan menggunakan plastik packing ditambah dengan oksigen ditali menggunakan karet dan siap dikirim.
22,Berapa harga kisaran ikan manfish untuk dijual?
,Dengan ukuran 4-5 cm dijual seharga Rp.4000-5000
23,Berapa harga jual untuk indukan ikan manfish?
,Harga jual indukan ikan manfish yaitu perpasang kisaran Rp.25000-30000
24,Bagaimana mengatasi permasalahan untuk pemasaran ikan manfish jika tidak berjalan dengan lancar?
,"Jika permasalahannya di pemasaran maka saya akan mengikuti bazar salah satunya kemudian akan memasarkan secara menyeluruh untuk ditawarkan kepada warga, teman dan tentunya dipasarkan juga secara online seperti di market place dll."
25,Apa rencana kedepan untuk berwirausaha ikan manfish?
,Rencana kedepan akan memperluas pasar serta memperbanyak ikan yang dibudidaya dan akan lebih mengenalkan ikanmanfish kepada orang-orang serta tetap akan menjalankan usaha tersebut.
26,Apa spesies ikan manfish?
,"Ikan manfish (Polypterus senegalus) adalah spesies ikan yang termasuk dalam keluarga Polypteridae. Mereka ditemukan di wilayah Afrika, khususnya di Sungai Niger dan beberapa sistem sungai lainnya."
27,Bagaimana penampilan ikan manfish?
,"Ikan manfish memiliki penampilan yang unik. Mereka memiliki badan panjang, bersisik, dan bisa tumbuh hingga sekitar 30-60 cm, tergantung pada perawatan dan lingkungan mereka. Ikan ini memiliki sirip berjari tiga hingga empat di punggungnya dan dapat memiliki warna yang bervariasi dari abu-abu hingga coklat."
28,Apakah media budidaya ikan manfish yang dijalankan dan berapa padat tebarnya?
,"Media budidaya ikan manfish yang saya lakukan adalah menggunakan kolam terpal dengan ukuran 4x1m. padat tebar sekitar 1000-2000 ekor benih ikan manfish, jika ikan sudah besar maka nanti perlu disortir kembali dan dikurangi jumlah ikan yang ada dikolam."
29,Apa saja jenis ikan manfish yang paling populer?
,"Ikan Manfish Zebra atau Zebra Angel Fish, ikan Manfish Slayer Black White, Ikan Manfish Silver Perak, Ikan Manfish Half-Black Angelfish, ikan Manfish Gold atau Ikan Layang Layang Emas, Angel Fish Marble, Ikan AngelFish Blushing, Koi Angel Fish, Angel Fish Dusky Blushing, ikan Hias Manfish Althum"
30,Apa yang harus diperhatikan saat merawat ikan manfish?
,"Ikan Manfish termasuk ikan yang membutuhkan perhatian khusus dalam perawatannya. Beberapa hal yang perlu diperhatikan termasuk suhu air yang stabil, filter yang baik, dan makanan yang sesuai. Ikan Manfish juga memerlukan tangki yang cukup besar karena dapat tumbuh besar."
31,Referensi Blogger kegiatan proyek kewirausahaan dan budidaya Ikan manfish
,https://aisahmustika.blogspot.com
,"Aisah, 2023. Budidaya ikan manfish"
,
No,PERTANYAAN DAN JAWABAN
1,Apa itu ikan manfish?
,Ikan manfish adalah ikan air tawar yang populer dalam budidaya karena rasanya yang lezat.
2,Apa nama ilmiah ikan manfish?
,"Ilmiahnya, ikan manfish dikenal sebagai Pangasius hypophthalmus."
3,Dari mana asal usul ikan manfish?
,"Ikan manfish berasal dari wilayah Asia Tenggara, terutama Vietnam dan Thailand."
4,Bagaimana ciri-ciri fisik ikan manfish?
,"Ikan manfish memiliki tubuh silindris, berwarna putih hingga keperakan, dan mata besar."
5,Apa yang membuat ikan manfish cocok untuk budidaya?
,"Ikan manfish tumbuh dengan cepat, tahan terhadap penyakit, dan memiliki tingkat konversi pakan yang baik."
6,Bagaimana kondisi udara yang ideal untuk budidaya ikan manfish?
,"Udara harus bersuhu antara 26-30°C, memiliki pH sekitar 6,5-7,5, dan kualitas udara yang baik."
7,Apa jenis pakan yang cocok untuk ikan manfish?
,"Makanan ikan manfish bisa berupa pelet ikan, cacing, dan plankton."
8,Apa yang harus diperhatikan dalam pemilihan lokasi kolam budidaya ikan manfish?
,Lokasi harus terlindung dari sinar matahari berlebihan dan memiliki akses yang baik untuk perawatan.
9,Bagaimana cara pemijahan ikan manfish?
,"1. Mengambil paralon yang telah dipotong-potong 10 cm atau 15 cm (sesuaikan agar bisa masuk ke dalam akuarium)  dan masukkan paralon tersebut sebagai substrat atau tempat bertelur indukan ikan manfish betina.
2. Memasukkan indukan ikan dalam setiap akuarium dengan perbandingan 1 : 1 (satu jantan dengan satu betina dalam satu akuarium). Kedua indukan ini nantinya akan bekerjasama membersihkan bagian permukaan paralon untuk digunakan sebagai tempat menempelkan telur-telur ikan manfish. 
3. Berikutnya, ikan manfish betina akan menempelkan telur-telur miliknya pada dinding paralon. Sedangkan ikan manfish jantan akan berenang naik turun guna menyemprotkan spermanya pada telur-telur ikan yang telah menempel."
10,Berapa lama masa inkubasi telur ikan manfish?
,Masa inkubasi telur ikan manfish biasanya berlangsung selama 24-36 jam.
11,Apa yang perlu dilakukan untuk mencegah penyakit pada ikan manfish?
,Pemeliharaan kebersihan kolam dan pemantauan kualitas udara adalah langkah penting untuk mencegah penyakit.
12,Bagaimana cara mengatasi pertumbuhan alga berlebih di kolam ikan manfish?
,Penggunaan lampu UV atau aplikasi perawatan kimia dapat membantu mengatasi pertumbuhan alga berlebih.
13,Apakah ikan manfish memerlukan aerasi dalam kolam?
,"Ya, aerasi penting untuk menjaga kadar oksigen dalam udara yang memadai."
14,Bagaimana cara mengukur kualitas udara di kolam ikan manfish?
,"Anda bisa menggunakan alat seperti pH meter, termometer, dan alat pengukur oksigen terlarut."
15,Kapan waktu yang tepat untuk memanen ikan manfish?
,"Ikan manfish biasanya dapat dipanen setelah mencapai berat sekitar 1-1,5 kg."
16,Bagaimana cara membersihkan ikan manfish sebelum dijual atau dimasak?
,"Ikan manfish harus dibongkar, dibersihkan, dan dikemas dengan baik sebelum dijual atau dimasak."
17,Apakah ikan manfish bisa diolah menjadi produk olahan?
,"Ya, ikan manfish dapat diolah menjadi berbagai produk olahan seperti nugget atau fillet."
18,Apakah budidaya ikan manfish ramah lingkungan?
,Budidaya ikan manfish yang baik dapat menjadi lebih ramah lingkungan dengan praktik yang berkelanjutan.
19,Apakah ikan manfish memiliki musuh alami?
,Ikan manfish memiliki musuh alami seperti predator ikan lain dan burung pemangsa.
20,Berapa lama waktu yang diperlukan untuk mencapai ukuran panen yang optimal?
,Ikan manfish biasanya mencapai ukuran panen yang optimal dalam waktu sekitar 6-9 bulan.
21,Apa yang perlu diperhatikan dalam pemilihan benih ikan manfish?
,Pilih benih ikan manfish yang sehat dan bebas dari penyakit.
22,Bagaimana cara menjaga kestabilan suhu udara di kolam?
,Penggunaan sistem pemanas atau pendingin udara dapat membantu menjaga suhu udara yang stabil.
23,Bagaimana cara mengidentifikasi tanda-tanda penyakit pada ikan manfish?
,"Tanda-tanda umum penyakit ikan manfish meliputi perubahan warna, keruh mata, dan perilaku aneh."
24,Apakah ikan manfish memerlukan perawatan khusus saat musim hujan?
,"Saat musim hujan, pastikan kolam tidak terlalu banjir dan udara tetap jernih."
25,Apa nilai nutrisi dari ikan manfish?
,"Ikan manfish kaya protein, rendah lemak, dan mengandung vitamin dan mineral penting seperti selenium dan vitamin D."
26,Referensi Blogger kegiatan proyek kewirausahaan dan budidaya Ikan Manfish
,https://awaludin19.blogspot.com/
,"Rohmat, 2023. Budidaya ikan manfish"
