No,Pertanyaan dan jawaban
,"Berdasarkan letak sentromernya, kromosom dibagi menjadi empat macam, yaitu : Telosentrik. Akrosentrik. Submetasentrik"
41,Struktur DNA ala saja?
,"(A), guanine (G), cytosine (C), dan thymine (T)."
42,apakah DNA merupakan materi Genetik sel?
,DNA lebih umum dikenal sebagai materi genetik dibandingkan RNA
43,apa fungsi Dari RNA dan DNA
,DNA berfungsi sebagai informasi genetik jangka panjang. DNA menjadi transmisi informasi genetik untuk membuat sel lain dan organisme baru. Sementara RNA digunakan untuk mentransfer kode genetik dari inti ke ribosom untuk membuat protein.
44,apa itu Struktur  DNA dan RNA?
,"Struktur DNA dan RNA terdiri dari ikatan gula-fosfat, jembatan gula karbon-pentosa, serta pasangan basa nitrogen yang dihubungkan oleh ikatan hidrogen"
45,"apa saja ciri"" DNA?"
,DNA memiliki bentuk untai panjang heliks ganda (double helix) berpilin ke arah kanan
46,apa saja prinsip dasar dari rekayasa genetika?
,Prinsip dasar teknologi rekayasa genetika adalah memanipulasi perubahan komposisi asam nukleat DNA atau menyelipkan gen baru ke dalam struktur DNA mahluk hidup penerima
47,berapa jumlah DNA pada manusia?
,"Ada cukup DNA dalam tubuh manusia untuk berkeliling Pluto sebanyak 17 kali. Genom manusia atau kode genetik dalam tiap sel manusia, berisi 23 molekul DNA. Masing-masing molekul berisi 500.000-2.500.000 pasang nukleotida."
48,RNA ada berapa?
,"RNA terdiri dari banyak jenis, namun tiga yang paling umum adalah messenger RNA (mRNA), RNA transfer (tRNA), dan RNA ribosom (rRNA)."
49,apa saja ciri ciri RNA?
,"Ciri-ciri RNA adalah:
1. Rantai untai tunggal.
2. Gula ribosa.
3. Basa nitrogen A, U, G, dan C.
4. Terbagi menjadi tiga jenis."
50,Bagaimana proses Translasi?
,"3Secara umum, poses translasi terdiri atas 3 tahapan yaitu: inisiasi, elongasi dan terminasi."
,"Abian, 2023. Genetika dan pemuliaan ikan "
