NO,PERTANYAAN ,JAWABAN ,SUMBER
11.,Bagaimana sistem pemasaran belut tersebut?,"Dari sisi bisnis, omset yang dihasilkan cukup signifikan, dengan penjualan bibit mencapai 200 ekor per hari.Sistem pendataan yang digunakan masih bersifat manual, dan bibit dijual kepada pihak yang memerlukan. Media kolam memerlukan persiapan selama satu bulan, kedalaman lumpur minimal 25 cm","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
12.,Berapa harga bibit belut per/kg?,"Harga bibit belut mencapai 90 ribu rupiah per kilogram, sedangkan belut konsumsi dijual seharga 80 ribu rupiah per kilogram.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
13.,Usia berapa belut bisa dipijahkan?,"Umur 3 bulan bisa dipijahkan, belut bersifat hermafrodit dan pada usia lebih dari satu tahun tidak dapat lagi melakukan pemijahan","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
14.,Apa pakan utama belut ?,"Pakan utama belut adalah cacing, sedangkan pakan tambahan dapat berupa, usus ayam, atau ikan air tawar.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
15.,Apa fungsi penting eceng gondog bagi pembibitan belut?,"Berbagai bahan ini memiliki fungsi penting; eceng gondok, misalnya, berfungsi untuk mengontrol pH air, menarik oksigen, dan menambah keindahan alam. Tanaman seperti kangkung, genjer, atau teratai juga bisa digunakan sebagai alternatif.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
16.,"Berapa biaya pelatihan di pembibitan belut, pak wardi di Dusun Sabrang wetan, Desa wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta?","Program pelatihan dengan biaya yang bervariasi: paket A seharga 2 juta rupiah, paket B seharga 1 juta rupiah, dan paket C seharga 150 ribu rupiah dengan durasi pelatihan selama dua jam. Biaya makanan untuk peserta pelatihan dihitung untuk 30 orang.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
17. ,Apakah ada dampak keberhasilan dalam pembibitan belut di omah belut kang wardi ini? ,"kehadiran usaha budidaya belut, khususnya melalui Omah Belut Kang Wardi, memberikan dampak ekonomi yang signifikan bagi masyarakat yang terlibat langsung. Usaha ini menciptakan lapangan kerja baru dan membantu meningkatkan perekonomian lokal, terutama bagi warga yang terlibat dalam berbagai proses produksi dan distribusi belut. Hal ini menjadi bukti bahwa usaha budidaya belut dapat memberikan kontribusi yang positif bagi kesejahteraan masyarakat jika dikelola dengan baik.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
18. ,Dalam sehari bisa berapa kuintal belut untuk di bibit kan? ,"Setiap harinya, bibit belut sebanyak 2 kuintal dimasukkan ke dalam kolam.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
19.,Alat apa saja dalam penyortiran belut? ,Untuk penyortiran belut digunakan jaring atau alat saringan. ,"Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
20.,Jelaskan berapa kebutuhan belut dalam 1 minggu? ,"Kebutuhan bibit belut rata-rata mencapai ±1 ton per minggu, dengan pesanan per mitra berkisar antara 10-20 kg. Namun konsisten manajemen mitra yang kurang terstruktur menjadi kendala utama dalam pelacakan data, seperti alamat dan informasi mitra. Berdasarkan wawancara dengan Bapak Wardi, mayoritas mitra membeli bibit kembali setiap tiga bulan, yang menunjukkan siklus budidaya yang konsisten.","Aisah dkk, 2024. Laporan survei Dusun Sabrang 
Wetan Desa Wukirsari, Kecamatan Cangkringan, Kabupaten Seleman Yogyakarta, Omah Belut Kang Wardi."
