No,Pertanyaan dan jawaban
,pengawetan makanan yang melibatkan perlakuan fisik pada makanan untuk mempertahankan daya simpannya. Contohnya pengawet panas dan pengawet dingin
19.,apa yang dimaksud pengawet oksidatif berikan contohnya
,Pengawet oksidatif adalah jenis pengawet yang digunakan dalam makanan untuk mencegah atau menghambat oksidasi lemak yang terjadi dalam produk makanan. Contohnya BHA (Butylated Hydroxyanisole) dan BHT (Butylated Hydroxytoluene) dan tokoferol (Vitamin E)
20.,apa yang dimaksud pengawet alami dan berikan contohnya
,"Pengawet alami dan ekstrak tumbuhan adalah bahan-bahan yang berasal dari sumber alamiah, seperti tumbuhan, dan digunakan dalam makanan sebagai pengawet atau untuk mempertahankan daya simpan. Contohnya ekstrak rosmary"
21.,sebutkan jenis -jenis bahan pengawet dan berikan contohnya
,"jenis -jenis bahan pengawet ada 2 yaitu Anorganik dan Organik
1. Anorganik :
- sulfit
- belerang diaoksida 
- garam nitrat nitrit
2. Organik :
- asam benzoat dan garamnya Na dan K
- asam propionat dan garamnya Na,dan Ca
- asam sorbat dan garamnya Na,Ka dan Ca"
22.,bahan organik apa saja yang diizinkan untuk digunakan dalam bahan tambahan pangan?
,asam benzoat
23.,bahan apa saja yang diizinkan untuk digunakan dalam bahan tambahan pangan ?
,kalsium bisulfit dan natrium metabisulfit
24.,apa yang dimaksud sifat antimikroba dalam bahan tambahan pangan?
,zat yang memiliki kemampuan untuk menghambat atau mematikan pertumbuhan mikroba dengan toksisitas terhadap manusia relatif kecil.
25.,faktor apa saja yang mempengaruhi aktivitas antimikroba oleh bahan tambahan pangan?
,"1. jenis bahan kimia dan konsentrasinya, 
2. banyaknya mikroorganisme, 
3. komposisi bahan pangan, 
4. keasaman bahan pangan dan 
5. Suhu penyimpanan."
26.,bagaimana mekanisme kerja antimikroba dalam bahan tambahan pangan?
,"1. gangguan sistem genetik
2. menghambat pembentukan dinding sel
3. penghambat enzim pengikatan nutrien essensial"
27.,bagaimana mekanisme kerja bahan pengawet dalam bahan tambahan pangan?
,senyawa antimikroba berbeda-beda antara senyawa satu dengan yang lain
28.,bagaimana mekanisme kerja nya bahan pengawet dalam bahan tambahan pangan?
,"1. larutan garam NaCi dan gula
2. penambahan asam untuk menurunkan Ph
3. kerja asam sebagai bahan pengawet tergantung terhadap pertumbuhan mikroorganisme"
29.,apa saja bahan tambahan pangan kimia yang dilarang untuk digunakan?
,"1. Asam borat
2. Dulsin
3. Formalin
4. Nitrofurazon
5. Asam salisilat
6. Potasium chlurat
7. Chloramphenicol
8. Diethylpyrocarbonate
9. Potasium bromat"
30.,bahan apa saja yang digunakan untuk bahan tambahan pangan?
,"1. Pewarna makanan
2. Pengawets
3. Perasa  buatan
4. pemanis buatan
5. Pengatur keasaman
6.antioksidan
7.penguat rasa"
31.,apa yang dimaksud karbonasi?
,Bahan pengarbonasi (carbonating agent) adalah bahan tambahan pangan untuk membentuk karbonasi di dalam pangan.
32.,apa yang dimaksud dengan propelan berikan contohnya
,"Propelan (propelant) adalah bahan tambahan pangan berupa gas untuk mendorong pangan keluar dari kemasan. Termasuk dalam kelompok ini yang diizinkan oleh Permenkes adalah:
1. Nitrogen;
2. Dinitrogen monoksida;
3. Propana."
33.,jelaskan yang dimaksud pewarna sintesis. berikan contohnya
,"Pewarna sintetis (synthetic dyestuff) adalah pewarna yang diperoleh secara sintesis kimiawi. Termasuk dalam kelompok ini yang diizinkan oleh Permenkes adalah:[36]
1. Tartrazin CI No. 19140;
2. Kuning kuinolin CI No. 47005;
3. Sunset Yellow FCF CI No. 15985;
4. Karmoisin CI No. 14720;
5. Ponceau 4R CI No. 16255;
6. Eritrosin CI No. 45430;
7. Merah allura CI No. 16035"
34.,jelaskan apa yang dimaksud perisa?
,"Perisa (flavouring) adalah bahan tambahan pangan yang digunakan untuk memberi rasa dengan pengecualian rasa asin, manis, dan asam.
Perisa dikelompokkan menjadi:
1. Perisa alami
2. Perisa identik alami
3. Perisa artifisial."
35.,sebutkan jenis bahan tambahan pangan pengeras?
,"Kalsium laktat
1. Trikalsium sitrat
2. Kalium dan kalsium klorida
3. Kalsium sulfat
4. Kalsium glukonat"
36.,apa yang dimaksud dengan aditif?
,"Aditif adalah bahan yang ditambahkan dengan sengaja ke dalam makanan dalam jumlah kecil, dengan tujuan untuk memperbaiki penampakan, cita rasa, tekstur, dan memperpanjang daya simpan. "
37.,jelaskan untuk penambahan gas dalam pakcaging makanan apakah diizinkan?
,"Gas untuk kemasan (packaging gas) adalah bahan tambahan pangan berupa gas, yang dimasukkan ke dalam kemasan pangan sebelum, saat, maupun setelah kemasan diisi dengan pangan untuk mempertahankan mutu pangan dan melindungi pangan dari kerusakan. yang diizinkan oleh Permenkes yaitu Karbon dioksida dan nitrogen."
38.,jelaskan apa yang dimaksud humektan?
,"Humektan (humectant) adalah bahan tambahan pangan untuk mempertahankan kelembaban pangan. humektan menarik dan mempertahankan kelembaban udara sekitarnya melalui penyerapan, menarik uap air ke dalam dan/atau di bawah permukaan objek. yang diizinkan oleh Permenkes adalah
1. Natrium dan kalium laktat
2. Natrium hidrogen malat
3. Natrium malat
4. Gliserol
5. Polidekstrosa
6. Triasetin"
39.,sebutkan manfaat bahan tambah makanan
,"1. Mengawetkan Pangan
2. membentuk pangan
3. memberikan warna
4. Meningkatkan kualitas pangan
5. Menghemat biaya
6. Memperbaiki tekstur
7. Meningkatkan cita rasa
8. Meningkatkan stabilitas"
40.,berapa batas penggunaan pemanis buatan dalam tubuh?
,"1. Batas maksimum siklamat adalah : 500 mg – 3 g/kg bahan
2. Batas maksimum Sakarin adalah  :  50-300 mg/kg bahan."
41.,berikan contoh dari natrium benzoat
,"sari buah, minuman ringan, saus tomat, saus sambal,jem, jeli, manisan, kecap"
42.,apa yang dimaksud dengan ingredients?
,"komposisi yang terdapat pada suatu produk makanan, minuman, obat, dll."
43.,jelaskan yang dimaksud antibuih dan berikan contohnya
,Antibuih (Antifoaming agent) adalah bahan tambahan pangan untuk mencegah atau mengurangi pembentukan buih. yang diizinkan oleh Permenkes adalah kalsium alginat dan mono dan digliserida asam lemak.
44.,jelaskan bahan tambahan pangan antikempal dan berikan contohnya
,"Antikempal (Anticaking agent) adalah bahan tambahan pangan yang ditambahkan ke dalam serbuk atau granul, untuk mencegah mengempalnya produk pangan, sehingga mudah dikemas, dan dikonsumsi. yang diizinkan oleh Permenkes adalah
1. Kalsium karbonat
2.Trikalsium fosfat
3. Selulosa mikrokristalin dan bubuk
4. Asam miristat beserta garam kalsium, kalium, dan natriumnya
5. Asam palmitat beserta garam kalsium, kalium, dan natriumnya
6. Asam stearat beserta garam kalsium, kalium, natrium dan magnesiumnya
7. Garam-garam oleat dari kalsium, kalium dan natrium
8. Natrium dan magnesium karbonat
9. Magnesium oksida
10. Natrium-, kalium-, dan kalsium besi(II) sianida
11. Silikon dioksida halus
12. Kalsium silikat
13. Natrium aluminosilikat
14. Magnesium silikat"
45.,jelaskan yang dimaksud pelapis dan berikan contohnya
,"Pelapis (glazing agent) adalah bahan tambahan pangan alami maupun sintetis untuk melapisi permukaan pangan sehingga mencegah kehilangan air serta memberikan efek perlindungan dan/atau penampakan mengkilap. yang diizinkan oleh Permenkes adalah:
1. Malam (beeswax)
2.  Lilin kandelila
3. Lilin karnauba
4. Syelak (shellac)
5. Lilin mikrokristalin"
46.,apa yang dimaksud pemanis alami dan berikan contohnya
,"Pemanis alami adalah pemanis yang dapat ditemukan dalam bahan alam meskipun prosesnya secara sintetik ataupun fermentasi. yang diizinkan oleh Permenkes adalah:
1. Sorbitol
2. Manitol
3. Isomalt/Isomaltitol
4. Glikosida steviol
5. Maltitol
6. Laktitol
7. Silitol
8. Eritritol"
47.,
,"Pemanis buatan adalah pemanis yang diproses secara kimiawi, Zat pemanis buatan biasanya digunakan untuk membantu mempertajam rasa.  yang diizinkan oleh Permenkes adalah:
1. Asesulfam-K
2. Aspartam
3. Asam siklamat beserta garam kalsium dan natriumnya
4. Sakarin beserta garam kalsium, kalium, dan natriumnya
5. Sukralosa (triklorogalaktosukrosa)
6. Neotam"
48.,apa yang dimaksud pembentuk gel dalam bahan tambahan pangan?
,"Pembentuk gel (gelling agent) adalah bahan tambahan pangan untuk membentuk gel. yang diizinkan oleh Permenkes adalah:
1. Asam alginat beserta garam natrium, kalium, dan kalsiumnya
2. Agar-agar
3. Karagen
4. Rumput laut eucheuma olahan
5. Gom gelan
6. Gelatin
7. Pektin"
49.,apa yang harus diperhatikan dalam penggunaan bahan tambahan pangan?
,"1. BTP bukan untuk dikonsumsi langsung
2. Perhatikan batas maksimum yang digunakan"
50.,Mengapa penggunaan BTP harus sesuai aturan?
,"Penggunaan BTP yang tepat sesuai takaran batas aman akan memberikan manfaat teknologi terhadap mutu pangan. Namun, penggunaan BTP yang tidak tepat atau melebihi takaran yang aman dapat membahayakan kesehatan."
,"Mira, 2023. Bahan tambahan pangan"
